
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000132                       # Number of seconds simulated (Second)
simTicks                                    132250500                       # Number of ticks simulated (Tick)
finalTick                                   132250500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.06                       # Real time elapsed on the host (Second)
hostTickRate                                124725406                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     620216                       # Number of bytes of host memory used (Byte)
simInsts                                       272836                       # Number of instructions simulated (Count)
simOps                                         272836                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   257287                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     257285                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           264502                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.969454                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.031508                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          274463                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       11                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         274149                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     22                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 1637                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined               787                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              255703                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.072138                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.048015                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    179312     70.13%     70.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     19357      7.57%     77.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      8462      3.31%     81.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     14265      5.58%     86.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      9469      3.70%     90.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      8299      3.25%     93.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      8259      3.23%     96.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        92      0.04%     96.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      8188      3.20%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                255703                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    8188     33.23%     33.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     33.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     33.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     33.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     33.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     33.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     33.23% # attempts to use FU when none available (Count)
