
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001012                       # Number of seconds simulated (Second)
simTicks                                   1012096500                       # Number of ticks simulated (Tick)
finalTick                                  1012096500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      5.33                       # Real time elapsed on the host (Second)
hostTickRate                                189928521                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     620200                       # Number of bytes of host memory used (Byte)
simInsts                                       788907                       # Number of instructions simulated (Count)
simOps                                         788907                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   148042                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     148042                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2024194                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.565821                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.389739                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          790692                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       11                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1369788                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     16                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 1795                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined               797                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2016194                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.679393                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.339064                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1463445     72.58%     72.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    201021      9.97%     82.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    123000      6.10%     88.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     48290      2.40%     91.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    136333      6.76%     97.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     32920      1.63%     99.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     10385      0.52%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       745      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        55      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2016194                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       3      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%      0.00% # attempts to use FU when none available (Count)
