
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001157                       # Number of seconds simulated (Second)
simTicks                                   1157128000                       # Number of ticks simulated (Tick)
finalTick                                  1157128000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      6.10                       # Real time elapsed on the host (Second)
hostTickRate                                189806412                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     620180                       # Number of bytes of host memory used (Byte)
simInsts                                       821675                       # Number of instructions simulated (Count)
simOps                                         821675                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   134779                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     134779                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2314257                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.816511                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.355049                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          823392                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       11                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1309828                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     16                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 1727                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined               753                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2304623                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.568348                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.201925                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1718807     74.58%     74.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    275061     11.94%     86.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     97653      4.24%     90.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     50191      2.18%     92.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    131790      5.72%     98.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     26054      1.13%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      4126      0.18%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       826      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       115      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2304623                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       4      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
