
---------- Begin Simulation Statistics ----------
simSeconds                                   0.017475                       # Number of seconds simulated (Second)
simTicks                                  17475342500                       # Number of ticks simulated (Tick)
finalTick                                 17475342500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    251.16                       # Real time elapsed on the host (Second)
hostTickRate                                 69579093                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     620008                       # Number of bytes of host memory used (Byte)
simInsts                                     85974021                       # Number of instructions simulated (Count)
simOps                                       85974021                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   342310                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     342310                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         34950686                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.406526                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.459866                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        89313170                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       11                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       88508427                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     28                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3339159                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1760425                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            34941586                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.533040                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.113295                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6725082     19.25%     19.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6139172     17.57%     36.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6138985     17.57%     54.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5174329     14.81%     69.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6962102     19.92%     89.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       303      0.00%     89.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1847235      5.29%     94.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        59      0.00%     94.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1954319      5.59%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              34941586                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      59     27.83%     27.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     27.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     27.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     27.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     27.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     27.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     27.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     27.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     27.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     27.83% # attempts to use FU when none available (Count)
