
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000023                       # Number of seconds simulated (Second)
simTicks                                     22890000                       # Number of ticks simulated (Tick)
finalTick                                    22890000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.16                       # Real time elapsed on the host (Second)
hostTickRate                                147081675                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     619848                       # Number of bytes of host memory used (Byte)
simInsts                                        51706                       # Number of instructions simulated (Count)
simOps                                          51706                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   332032                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     332014                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                            45781                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.885410                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.129421                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           53808                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       11                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          53229                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     16                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 2112                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              1149                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               38079                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.397857                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.804363                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                      4057     10.65%     10.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     16697     43.85%     54.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     16448     43.19%     97.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                       372      0.98%     98.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                       214      0.56%     99.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       162      0.43%     99.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                        73      0.19%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        32      0.08%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        24      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 38079                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       3      3.61%      3.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      3.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      3.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      3.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      3.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      3.61% # attempts to use FU when none available (Count)
