
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000605                       # Number of seconds simulated (Second)
simTicks                                    604689000                       # Number of ticks simulated (Tick)
finalTick                                   604689000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      2.73                       # Real time elapsed on the host (Second)
hostTickRate                                221318582                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     620244                       # Number of bytes of host memory used (Byte)
simInsts                                       272836                       # Number of instructions simulated (Count)
simOps                                         272836                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    99855                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      99855                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1209379                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.432623                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.225600                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          274490                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       11                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         274383                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     37                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 1664                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined               761                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1200296                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.228596                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.805278                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1064953     88.72%     88.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     76887      6.41%     95.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     16133      1.34%     96.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     21281      1.77%     98.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     11573      0.96%     99.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      2126      0.18%     99.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      7024      0.59%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       231      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        88      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1200296                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    5954     90.18%     90.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     90.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     90.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     90.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     90.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     90.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     90.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     90.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     90.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     90.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     90.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     90.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     90.18% # attempts to use FU when none available (Count)
