
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005196                       # Number of seconds simulated (Second)
simTicks                                   5195846500                       # Number of ticks simulated (Tick)
finalTick                                  5195846500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     11.05                       # Real time elapsed on the host (Second)
hostTickRate                                470075581                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     620236                       # Number of bytes of host memory used (Byte)
simInsts                                       985504                       # Number of instructions simulated (Count)
simOps                                         985504                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    89159                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      89159                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         10391694                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              10.544548                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.094836                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          988043                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       12                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         987557                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     22                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 2550                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              1122                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10382523                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.095117                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.439258                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   9757170     93.98%     93.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    417160      4.02%     97.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     91703      0.88%     98.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     79614      0.77%     99.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     36519      0.35%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       191      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                        82      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        46      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        38      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10382523                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       5      4.67%      4.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      4.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      4.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      4.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      4.67% # attempts to use FU when none available (Count)
