
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005811                       # Number of seconds simulated (Second)
simTicks                                   5811333500                       # Number of ticks simulated (Tick)
finalTick                                  5811333500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     22.76                       # Real time elapsed on the host (Second)
hostTickRate                                255355729                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     620468                       # Number of bytes of host memory used (Byte)
simInsts                                      3045380                       # Number of instructions simulated (Count)
simOps                                        3045380                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   133816                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     133816                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11622668                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               3.816492                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.262021                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3283754                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1552                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3392987                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     23                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               239925                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             27733                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   6                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11613373                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.292162                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.981480                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  10182594     87.68%     87.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    573850      4.94%     92.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    381156      3.28%     95.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    205475      1.77%     97.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    113014      0.97%     98.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     49803      0.43%     99.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     53228      0.46%     99.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     14063      0.12%     99.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     40190      0.35%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11613373                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      60      0.07%      0.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.07% # attempts to use FU when none available (Count)
