
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006357                       # Number of seconds simulated (Second)
simTicks                                   6356643000                       # Number of ticks simulated (Tick)
finalTick                                  6356643000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     23.99                       # Real time elapsed on the host (Second)
hostTickRate                                264929362                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     620480                       # Number of bytes of host memory used (Byte)
simInsts                                      2979849                       # Number of instructions simulated (Count)
simOps                                        2979849                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   124192                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     124192                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         12713287                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.266420                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.234389                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3308486                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1552                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3275617                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     34                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               330188                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             68975                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   6                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            12704323                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.257835                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.922400                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  11317763     89.09%     89.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    447663      3.52%     92.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    577342      4.54%     97.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    164099      1.29%     98.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     45979      0.36%     98.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     10390      0.08%     98.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     74303      0.58%     99.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     34983      0.28%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     31801      0.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              12704323                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   30316     45.30%     45.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     45.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     45.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     45.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     45.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     45.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     45.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     45.30% # attempts to use FU when none available (Count)
