
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000089                       # Number of seconds simulated (Second)
simTicks                                     88662000                       # Number of ticks simulated (Tick)
finalTick                                    88662000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.24                       # Real time elapsed on the host (Second)
hostTickRate                                368858952                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     621012                       # Number of bytes of host memory used (Byte)
simInsts                                        46481                       # Number of instructions simulated (Count)
simOps                                          46481                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   193291                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     193284                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           177325                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               3.815000                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.262123                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           48101                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       11                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          47805                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     14                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 1630                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined               746                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              155856                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.306725                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.535302                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    110513     70.91%     70.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     44455     28.52%     99.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                       257      0.16%     99.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                       156      0.10%     99.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                       215      0.14%     99.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       134      0.09%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                        66      0.04%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        38      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        22      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                155856                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       8      9.41%      9.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      9.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      9.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      9.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      9.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      9.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      9.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      9.41% # attempts to use FU when none available (Count)
