
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000025                       # Number of seconds simulated (Second)
simTicks                                     25157500                       # Number of ticks simulated (Tick)
finalTick                                    25157500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.33                       # Real time elapsed on the host (Second)
hostTickRate                                 75298355                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     621028                       # Number of bytes of host memory used (Byte)
simInsts                                        53527                       # Number of instructions simulated (Count)
simOps                                          53527                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   160163                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     160160                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                            50316                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.940012                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.063817                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          102254                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       11                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          90226                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    754                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                48737                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             22530                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               40387                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.234036                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.574295                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     18776     46.49%     46.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      2831      7.01%     53.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      2929      7.25%     60.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      2323      5.75%     66.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      3828      9.48%     75.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      3564      8.82%     84.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      2740      6.78%     91.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      2172      5.38%     96.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1224      3.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 40387                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1015     85.73%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     85.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     85.73% # attempts to use FU when none available (Count)
