
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000042                       # Number of seconds simulated (Second)
simTicks                                     41760000                       # Number of ticks simulated (Tick)
finalTick                                    41760000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.27                       # Real time elapsed on the host (Second)
hostTickRate                                151860711                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     623056                       # Number of bytes of host memory used (Byte)
simInsts                                        70162                       # Number of instructions simulated (Count)
simOps                                          70162                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   255056                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     255048                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                            83521                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.190402                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.840052                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           72284                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       11                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          71854                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      5                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 2132                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined               992                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               74915                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.959140                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.070080                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     39897     53.26%     53.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                       621      0.83%     54.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     33262     44.40%     98.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                       357      0.48%     98.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                       467      0.62%     99.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       176      0.23%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                        78      0.10%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        34      0.05%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        23      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 74915                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       5      6.58%      6.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      6.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      6.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      6.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      6.58% # attempts to use FU when none available (Count)
