Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,2.3e-05,22974500.0,59937.0,0.17,134807101.0,620888.0,59937.0,45950.0,0.766638,1.304396,0.247588,7891.0,,12711870.0,10087140.0,553.303445,553.303445
EM1,1.3e-05,13175000.0,18840.0,0.09,150962290.0,620900.0,18840.0,26351.0,1.398673,0.714963,0.243112,8679.0,,8287140.0,5691570.0,629.004934,629.004934
DPT,3.8e-05,37937500.0,106968.0,0.35,109334132.0,621052.0,106968.0,75876.0,0.709334,1.409774,0.126677,9146.0,,21242730.0,17380980.0,559.940165,559.940165
MIM2,7.6e-05,76290500.0,105232.0,0.51,148275395.0,621444.0,105232.0,152582.0,1.449958,0.689675,0.657505,8572.0,,56660835.0,54192960.0,742.698436,742.698436
CCl,3.5e-05,35137500.0,119234.0,0.3,115824380.0,620900.0,119234.0,70276.0,0.589396,1.696653,0.092373,9168.0,,18845160.0,16022280.0,536.326147,536.326147
EF,1.5e-05,15144500.0,43438.0,0.13,113268401.0,621060.0,43438.0,30290.0,0.697316,1.434071,0.245797,8447.0,,9119445.0,6448050.0,602.162171,602.162171
STL2,0.000446,445812500.0,309670.0,2.04,218914787.0,621428.0,309670.0,891626.0,2.879278,0.347309,0.986096,9482.0,,372781635.0,370767150.0,836.184797,836.184797
ML2BWst,0.001052,1051840000.0,625067.0,4.31,243765437.0,621564.0,625067.0,2103681.0,3.365529,0.29713,0.950504,10609.0,,1042640220.0,1040379870.0,991.253632,991.253632
CRd,0.017475,17475342500.0,85974021.0,246.68,70843200.0,621040.0,85974021.0,34950686.0,0.406526,2.459866,5.3e-05,9100.0,,8137076580.0,8129569800.0,465.63188,465.63188
MMst,0.006701,6700948000.0,2979849.0,24.45,274091384.0,621812.0,2979849.0,13401897.0,4.497509,0.222345,0.27354,9001.0,,4602974730.0,4599198075.0,686.913961,686.913961
MIM,7.6e-05,76281500.0,105232.0,0.52,147716389.0,621444.0,105232.0,152564.0,1.449787,0.689756,0.657426,8572.0,,56657565.0,54189600.0,742.743195,742.743195
ED1,4.7e-05,47338500.0,14748.0,0.13,357846581.0,620904.0,14748.0,94679.0,6.419786,0.155768,0.244552,7977.0,,24642585.0,21972300.0,520.561171,520.561171
CCh,0.000667,667278500.0,1182146.0,5.28,126438581.0,621044.0,1182146.0,1334558.0,1.128928,0.885796,0.032133,8715.0,,320797890.0,311072790.0,480.755622,480.755622
CS1,9e-06,9269500.0,8294.0,0.07,132936655.0,620916.0,8294.0,18540.0,2.235351,0.447357,0.155774,8600.0,,6542610.0,4192050.0,705.821242,705.821242
CF1,1.1e-05,11488500.0,14997.0,0.09,128630404.0,620924.0,14997.0,22978.0,1.532173,0.652668,0.104655,9184.0,,7608135.0,5044050.0,662.239196,662.239196
MDyn,0.006324,6323728500.0,4282798.0,28.68,220454419.0,621740.0,4282798.0,12647458.0,2.953083,0.338629,0.999329,11261.0,,4960550400.0,4966908240.0,784.434436,784.434436
STL2b,0.00186,1860354000.0,397486.0,5.72,325464295.0,621580.0,397486.0,3720709.0,9.360604,0.106831,0.991236,9392.0,,1625423550.0,1617885015.0,873.717341,873.717341
ML2BWld,0.000934,933662500.0,788907.0,4.99,187270630.0,621584.0,788907.0,1867326.0,2.366979,0.42248,0.900713,7867.0,,829207425.0,829625520.0,888.123305,888.123305
MD,7.5e-05,74528500.0,190276.0,0.78,95007370.0,621176.0,190276.0,149058.0,0.783378,1.276523,0.084816,8448.0,,38953230.0,45383160.0,522.662203,522.662203
CRf,3.1e-05,31279000.0,165374.0,0.51,61473720.0,620916.0,165374.0,62559.0,0.378288,2.643489,0.007856,7981.0,,17569215.0,14583720.0,561.693628,561.693628
CCa,2.3e-05,22890000.0,51706.0,0.16,143973121.0,620920.0,51706.0,45781.0,0.88541,1.129421,0.246954,7702.0,,12697005.0,10054500.0,554.696592,554.696592
DP1d,0.000199,198762500.0,293966.0,1.27,156109517.0,621176.0,293966.0,397526.0,1.352286,0.739489,0.143769,8582.0,,103961910.0,101416770.0,523.045896,523.045896
CCe,2.6e-05,25699500.0,76320.0,0.23,114119466.0,620920.0,76320.0,51400.0,0.67348,1.484825,0.038851,8590.0,,14496585.0,11765910.0,564.08043,564.08043
DPTd,2e-05,19614500.0,50186.0,0.17,113030268.0,620936.0,50186.0,39230.0,0.781692,1.279276,0.094675,9888.0,,11803620.0,8796900.0,601.780316,601.780316
EI,1.7e-05,17411000.0,39347.0,0.12,140333855.0,621052.0,39347.0,34823.0,0.885023,1.129914,0.256895,8915.0,,10666830.0,7950660.0,612.6489,612.6489
DPcvt,3.4e-05,33528000.0,33229.0,0.19,178727575.0,621032.0,33229.0,67057.0,2.018026,0.495534,0.126977,8783.0,,19574850.0,15404520.0,583.835898,583.835898
EM5,1.5e-05,14816000.0,35240.0,0.12,128130474.0,620884.0,35240.0,29633.0,0.840891,1.189215,0.242013,7851.0,,8948700.0,6321810.0,603.988931,603.988931
ML2BWldst,0.001048,1047811000.0,821675.0,5.79,181097004.0,621576.0,821675.0,2095623.0,2.550428,0.392091,0.785113,9509.0,,1038406110.0,1036997865.0,991.02425,991.02425
DP1f,0.000104,104150500.0,149953.0,0.68,152641486.0,621176.0,149953.0,208302.0,1.389115,0.719883,0.145062,8961.0,,53874480.0,55702200.0,517.275289,517.275289
STc,4.2e-05,41760000.0,70162.0,0.28,147183197.0,620920.0,70162.0,83521.0,1.190402,0.840052,0.071852,8606.0,,22934475.0,19197690.0,549.197198,549.197198
CS3,5.6e-05,56415000.0,75047.0,0.35,159664053.0,620888.0,75047.0,112831.0,1.503471,0.665127,0.063284,8680.0,,28803855.0,26089950.0,510.570859,510.570859
MI,4.6e-05,45540500.0,168493.0,0.54,84750493.0,620900.0,168493.0,91082.0,0.540568,1.849904,0.019632,8297.0,,24323010.0,20649690.0,534.096244,534.096244
MIP,8.9e-05,88662000.0,46481.0,0.24,370895393.0,621068.0,46481.0,177325.0,3.815,0.262123,0.235991,21469.0,,48544125.0,42432885.0,547.518948,547.518948
